Skill_Category,Sector,Years_to_50_Percent_Obsolescence,AI_Adoption_Rate,Skill_Depreciation_Rate,Reskilling_Time_Months,Year,Region,Skill_Name
Technical,Software Engineering,2.3,78.5,0.42,18,2024,North America,Legacy Backend Development
Technical,Software Engineering,1.8,85.2,0.51,14,2024,Europe,Manual Code Documentation
Technical,Software Engineering,3.1,72.4,0.35,22,2023,Asia,Traditional QA Testing
Technical,Data Science,2.7,81.3,0.38,20,2024,North America,Manual Data Cleaning
Technical,Data Science,1.5,88.7,0.58,12,2024,Europe,Statistical Programming (R)
Technical,Data Science,3.4,68.9,0.32,24,2023,Asia,Exploratory Data Analysis
Creative,Graphic Design,4.2,65.4,0.28,16,2024,North America,Traditional Layout Design
Creative,Graphic Design,3.8,71.2,0.31,14,2023,Europe,Manual Image Editing
Creative,Marketing,2.9,76.8,0.36,18,2024,North America,Copywriting (Standard)
Creative,Marketing,2.1,82.5,0.44,15,2024,Europe,Social Media Content Creation
Creative,Advertising,3.5,69.7,0.30,20,2023,Asia,Campaign Concept Development
Analytical,Finance,4.8,58.3,0.24,28,2023,North America,Financial Modeling
Analytical,Finance,3.9,64.1,0.29,24,2024,Europe,Risk Assessment
Analytical,Consulting,3.2,73.6,0.34,22,2024,North America,Market Analysis
Analytical,Business Intelligence,2.4,79.4,0.40,16,2024,Europe,SQL Query Writing
Analytical,Consulting,4.1,61.8,0.27,26,2023,Asia,Strategy Development
Administrative,Human Resources,5.3,52.7,0.21,20,2023,North America,Recruitment Screening
Administrative,Human Resources,4.6,57.9,0.25,18,2024,Europe,Interview Scheduling
Administrative,Operations,3.7,67.3,0.30,16,2024,North America,Process Documentation
Administrative,Customer Service,2.8,75.1,0.37,12,2024,Europe,Email Response Management
Administrative,Legal,6.2,48.5,0.18,32,2023,North America,Contract Review (Standard)
Technical,Cybersecurity,7.8,45.2,0.14,36,2023,North America,Threat Analysis
Technical,Cloud Engineering,3.6,70.8,0.31,24,2024,North America,Infrastructure Management
Technical,DevOps,2.9,77.2,0.36,20,2024,Europe,CI/CD Pipeline Setup
Technical,Web Development,1.9,84.6,0.49,14,2024,Asia,Frontend Development (React)
Technical,Mobile Development,2.6,79.8,0.39,18,2024,North America,Native App Development
